ticker,volume,open,close,high,low,window_start,transactions
C:EURUSD,120,1.08063,1.08033,1.0807,1.0803,1679961600000,120
C:EURUSD,120,1.08034,1.08055,1.0806,1.0803,1679961660000,120
C:EURUSD,83,1.0804,1.08066,1.08068,1.0803,1679961720000,83
C:EURUSD,104,1.08067,1.08066,1.0808,1.0805,1679961780000,104
C:EURUSD,87,1.08072,1.08075,1.0808,1.0805,1679961840000,87
C:EURUSD,87,1.08072,1.0807,1.08074,1.0805,1679961900000,87
C:EURUSD,71,1.08072,1.08076,1.0808,1.0805,1679961960000,71
C:EURUSD,65,1.08075,1.08064,1.0808,1.0805,1679962020000,65
C:EURUSD,126,1.08063,1.08079,1.0808,1.0805,1679962080000,126
C:EURUSD,74,1.0808,1.08069,1.081,1.0806,1679962140000,74
C:EURUSD,99,1.08068,1.08064,1.08072,1.0804,1679962200000,99
C:EURUSD,111,1.08063,1.0808,1.08083,1.0805,1679962260000,111
C:EURUSD,134,1.08084,1.08101,1.0812,1.0808,1679962320000,134
C:EURUSD,105,1.08101,1.08093,1.08103,1.0807,1679962380000,105
C:EURUSD,89,1.0807,1.08088,1.081,1.0807,1679962440000,89
C:EURUSD,112,1.08087,1.08085,1.08091,1.0807,1679962500000,112
C:EURUSD,65,1.08084,1.08077,1.0809,1.0806,1679962560000,65
C:EURUSD,60,1.0807,1.08078,1.08083,1.0806,1679962620000,60
C:EURUSD,80,1.08075,1.08079,1.0808,1.0805,1679962680000,80
C:EURUSD,81,1.08078,1.08079,1.08087,1.0806,1679962740000,81
C:EURUSD,78,1.08078,1.08069,1.0808,1.0805,1679962800000,78
C:EURUSD,90,1.08071,1.08072,1.0808,1.0806,1679962860000,90
C:EURUSD,101,1.08075,1.08082,1.08084,1.0806,1679962920000,101
C:EURUSD,66,1.08081,1.08079,1.0809,1.0806,1679962980000,66
C:EURUSD,90,1.08078,1.08088,1.0809,1.0806,1679963040000,90
C:EURUSD,65,1.08089,1.08088,1.08092,1.0807,1679963100000,65
C:EURUSD,68,1.08086,1.08087,1.08095,1.0807,1679963160000,68
C:EURUSD,51,1.08087,1.08077,1.0809,1.0807,1679963220000,51
C:EURUSD,96,1.08078,1.08073,1.0808,1.0806,1679963280000,96
C:EURUSD,112,1.08074,1.08074,1.0808,1.0805,1679963340000,112
C:EURUSD,114,1.08078,1.08074,1.08085,1.0806,1679963400000,114
C:EURUSD,91,1.08078,1.08087,1.0809,1.0806,1679963460000,91
C:EURUSD,94,1.08086,1.08086,1.08094,1.0807,1679963520000,94
C:EURUSD,82,1.08084,1.08085,1.08093,1.0807,1679963580000,82
C:EURUSD,100,1.08081,1.08091,1.08094,1.0807,1679963640000,100
C:EURUSD,107,1.08092,1.08092,1.08093,1.0807,1679963700000,107
C:EURUSD,98,1.08092,1.08092,1.081,1.0807,1679963760000,98
C:EURUSD,88,1.08093,1.08103,1.08103,1.0808,1679963820000,88
C:EURUSD,85,1.08103,1.08112,1.08119,1.0808,1679963880000,85
C:EURUSD,65,1.0812,1.08116,1.0812,1.0809,1679963940000,65
C:EURUSD,66,1.08115,1.08128,1.0813,1.081,1679964000000,66
C:EURUSD,104,1.08127,1.0813,1.08138,1.0811,1679964060000,104
C:EURUSD,134,1.08134,1.0812,1.0814,1.08115,1679964120000,134
C:EURUSD,94,1.0811,1.08128,1.0813,1.081,1679964180000,94
C:EURUSD,76,1.08129,1.08128,1.08131,1.0811,1679964240000,76
C:EURUSD,100,1.08124,1.08125,1.0813,1.081,1679964300000,100
C:EURUSD,74,1.08126,1.08123,1.0813,1.081,1679964360000,74
C:EURUSD,83,1.08124,1.08129,1.08133,1.0811,1679964420000,83
C:EURUSD,113,1.0813,1.0813,1.08138,1.0811,1679964480000,113
C:EURUSD,119,1.08131,1.08132,1.08135,1.0811,1679964540000,119
C:EURUSD,117,1.08133,1.08136,1.08137,1.0811,1679964600000,117
C:EURUSD,112,1.08134,1.08135,1.0814,1.0811,1679964660000,112
C:EURUSD,86,1.08136,1.08143,1.08144,1.0812,1679964720000,86
C:EURUSD,155,1.08142,1.08143,1.08154,1.0813,1679964780000,155
C:EURUSD,217,1.0813,1.08175,1.08182,1.0813,1679964840000,217
C:EURUSD,188,1.08166,1.08161,1.08181,1.0814,1679964900000,188
C:EURUSD,144,1.08154,1.0816,1.08165,1.0814,1679964960000,144
C:EURUSD,75,1.08151,1.08163,1.08165,1.0814,1679965020000,75
C:EURUSD,113,1.08162,1.08176,1.08177,1.0814,1679965080000,113
C:EURUSD,77,1.08175,1.08164,1.08177,1.0815,1679965140000,77
C:EURUSD,129,1.08162,1.08158,1.08169,1.0814,1679965200000,129
C:EURUSD,94,1.08158,1.08155,1.08173,1.0814,1679965260000,94
C:EURUSD,83,1.08154,1.08148,1.0816,1.0813,1679965320000,83
C:EURUSD,90,1.08147,1.08151,1.08153,1.0813,1679965380000,90
C:EURUSD,135,1.08149,1.08164,1.08167,1.0813,1679965440000,135
C:EURUSD,106,1.08163,1.08159,1.0817,1.0814,1679965500000,106
C:EURUSD,120,1.08161,1.08179,1.0818,1.0815,1679965560000,120
C:EURUSD,144,1.0818,1.08184,1.08196,1.0817,1679965620000,144
C:EURUSD,148,1.08176,1.08179,1.08188,1.0817,1679965680000,148
C:EURUSD,131,1.0818,1.08176,1.0819,1.0816,1679965740000,131
C:EURUSD,99,1.08177,1.08157,1.0818,1.0814,1679965800000,99
C:EURUSD,104,1.08158,1.08156,1.08162,1.0814,1679965860000,104
C:EURUSD,78,1.08156,1.08151,1.0816,1.0814,1679965920000,78
C:EURUSD,132,1.08151,1.08152,1.0816,1.0813,1679965980000,132
C:EURUSD,130,1.08151,1.08133,1.08152,1.08127,1679966040000,130
C:EURUSD,170,1.08132,1.08151,1.08156,1.08132,1679966100000,170
C:EURUSD,129,1.0815,1.08133,1.0816,1.0811,1679966160000,129
C:EURUSD,116,1.08133,1.08132,1.08142,1.0812,1679966220000,116
C:EURUSD,135,1.08126,1.08118,1.08132,1.081,1679966280000,135
C:EURUSD,64,1.08121,1.08114,1.08121,1.081,1679966340000,64
C:EURUSD,122,1.08113,1.08123,1.08123,1.081,1679966400000,122
C:EURUSD,100,1.08119,1.08114,1.08123,1.081,1679966460000,100
C:EURUSD,125,1.08115,1.08116,1.08122,1.0809,1679966520000,125
C:EURUSD,87,1.08115,1.08116,1.08124,1.081,1679966580000,87
C:EURUSD,111,1.08117,1.08115,1.0812,1.0809,1679966640000,111
C:EURUSD,109,1.081,1.08127,1.0813,1.081,1679966700000,109
C:EURUSD,104,1.08128,1.08127,1.0813,1.0811,1679966760000,104
C:EURUSD,111,1.08123,1.08131,1.08132,1.0811,1679966820000,111
C:EURUSD,94,1.0813,1.08123,1.0813,1.0811,1679966880000,94
C:EURUSD,87,1.0811,1.08134,1.08136,1.0811,1679966940000,87
C:EURUSD,99,1.08131,1.08138,1.08145,1.0812,1679967000000,99
C:EURUSD,169,1.08137,1.08161,1.08177,1.08137,1679967060000,169
C:EURUSD,122,1.08155,1.08144,1.08161,1.0812,1679967120000,122
C:EURUSD,117,1.08144,1.08145,1.08153,1.0813,1679967180000,117
C:EURUSD,114,1.08149,1.08132,1.08157,1.0812,1679967240000,114
C:EURUSD,76,1.08134,1.0814,1.0814,1.0811,1679967300000,76
C:EURUSD,98,1.08129,1.08136,1.0814,1.0812,1679967360000,98
C:EURUSD,118,1.08136,1.08127,1.08141,1.0812,1679967420000,118
C:EURUSD,125,1.08123,1.08121,1.0813,1.081,1679967480000,125